Heading 1,Heading 2,Heading 3,Paragraph
,,,"When Jobs denied paternity, a DNA test established him as Lisa's father.[clarification needed] It required him to give Brennan $385 a month in addition to returning the welfare money she had received. Jobs gave her $500 a month at the time when Apple went public and Jobs became a millionaire. Later, Brennan agreed to give an interview with Michael Moritz for Time magazine for its Time Person of the Year special, released on January 3, 1983, in which she discussed her relationship with Jobs. Rather than name Jobs the Person of the Year, the magazine named the computer[clarification needed] the ""Machine of the Year"".[89] In the issue, Jobs questioned the reliability of the paternity test (which stated that the ""probability of paternity for Jobs, Steven... is 94.1%"").[90] Jobs responded by arguing that ""28% of the male population of the United States could be the father"".[90] Time also noted that ""the baby girl and the machine on which Apple has placed so much hope for the future share the same name: Lisa"".[90]"
,,,"Jobs was worth over $1 million in 1978, when he was just 23 years old. His net worth grew to over $250 million by the time he was 25, according to estimates.[91] He was also one of the youngest ""people ever to make the Forbes list of the nation's richest people—and one of only a handful to have done it themselves, without inherited wealth"".[26][page needed]"
,,,"In 1982, Jobs bought an apartment on the top two floors of The San Remo, a Manhattan building with a politically progressive reputation. Although he never lived there,[92] he spent years renovating it with the help of I. M. Pei. In 2003, he sold it to U2 singer Bono."
,,,"In 1983, Jobs lured John Sculley away from Pepsi-Cola to serve as Apple's CEO, asking, ""Do you want to spend the rest of your life selling sugared water, or do you want a chance to change the world?""[93]"
,,,"In 1984, Jobs bought the Jackling House and estate, and resided there for a decade. After that, he leased it out for several years until 2000 when he stopped maintaining the house, allowing exposure to the weather to degrade it. In 2004, Jobs received permission from the town of Woodside to demolish the house in order to build a smaller contemporary styled one. After a few years in court, the house was finally demolished in 2011, a few months before he died.[94]"
,,,"Jobs began directing the development of the Macintosh in 1981, when he took over the project from early Apple employee Jef Raskin, who conceived the computer (Wozniak, who with Raskin had heavy influence over the program early on in its development, was on leave during this time due to an airplane crash earlier that year[95]).[96][97] On January 22, 1984, Apple aired a Super Bowl television commercial titled ""1984"", which ended with the words: ""On January 24th, Apple Computer will introduce Macintosh. And you'll see why 1984 won't be like 1984.""[98] On January 24, 1984, an emotional Jobs introduced the Macintosh to a wildly enthusiastic audience at Apple's annual shareholders meeting held in the Flint Auditorium;[99][100] Macintosh engineer Andy Hertzfeld described the scene as ""pandemonium"".[101] The Macintosh was based on The Lisa (and Xerox PARC's mouse-driven graphical user interface),[102][103] and it was widely acclaimed by the media with strong initial sales supporting it.[104][105] However, the computer's slow processing speed and limited range of available software led to a rapid sales decline in the second half of 1984.[104][105][106]"
,,,"Sculley's and Jobs's respective visions for the company greatly differed. The former favored open architecture computers like the Apple II, sold to education, small business, and home markets less vulnerable to IBM. Jobs wanted the company to focus on the closed architecture Macintosh as a business alternative to the IBM PC. President and CEO Sculley had little control over chairman of the board Jobs's Macintosh division; it and the Apple II division operated like separate companies, duplicating services.[108] Although its products provided 85 percent of Apple's sales in early 1985, the company's January 1985 annual meeting did not mention the Apple II division or employees. Many left, including Wozniak, who stated that the company had ""been going in the wrong direction for the last five years"" and sold most of his stock.[109] Despite being frustrated with the company's (including Jobs himself) dismissal of the Apple II employees in favor of the Macintosh, Wozniak left amicably and remained an honorary employee of Apple, maintaining a friendship with Jobs until his death.[110][111][112]"
,,,"By early 1985, the Macintosh's failure to defeat the IBM PC became clear,[104][105] and it strengthened Sculley's position in the company. In May 1985, Sculley—encouraged by Arthur Rock—decided to reorganize Apple, and proposed a plan to the board that would remove Jobs from the Macintosh group and put him in charge of ""New Product Development"". This move would effectively render Jobs powerless within Apple.[26][page needed] In response, Jobs then developed a plan to get rid of Sculley and take over Apple. However, Jobs was confronted after the plan was leaked, and he said that he would leave Apple. The Board declined his resignation and asked him to reconsider. Sculley also told Jobs that he had all of the votes needed to go ahead with the reorganization. A few months later, on September 17, 1985, Jobs submitted a letter of resignation to the Apple Board. Five additional senior Apple employees also resigned and joined Jobs in his new venture, NeXT.[26][page needed]"
,,,"The Macintosh's struggle continued after Jobs left Apple. Though marketed and received in fanfare, the expensive Macintosh was a hard sell.[113]: 308–309  In 1985, Bill Gates's then-developing company, Microsoft, threatened to stop developing Mac applications unless it was granted ""a license for the Mac operating system software. Microsoft was developing its graphical user interface ... for DOS, which it was calling Windows and didn't want Apple to sue over the similarities between the Windows GUI and the Mac interface.""[113]: 321  Sculley granted Microsoft the license which later led to problems for Apple.[113]: 321  In addition, cheap IBM PC clones that ran on Microsoft software and had a graphical user interface began to appear. Although the Macintosh preceded the clones, it was far more expensive, so ""through the late 1980s, the Windows user interface was getting better and better and was thus taking increasingly more share from Apple"".[113]: 322  Windows-based IBM-PC clones also led to the development of additional GUIs such as IBM's TopView or Digital Research's GEM,[113]: 322  and thus ""the graphical user interface was beginning to be taken for granted, undermining the most apparent advantage of the Mac...it seemed clear as the 1980s wound down that Apple couldn't go it alone indefinitely against the whole IBM-clone market.""[113]: 322 "
,,,"Following his resignation from Apple in 1985, Jobs founded NeXT Inc.[114] with $7 million. A year later he was running out of money, and he sought venture capital with no product on the horizon. Eventually, Jobs attracted the attention of billionaire Ross Perot, who invested heavily in the company.[115] The NeXT computer was shown to the world in what was considered Jobs's comeback event,[116] a lavish invitation-only gala launch event[117] that was described as a multimedia extravaganza.[118] The celebration was held at the Louise M. Davies Symphony Hall, San Francisco, California, on Wednesday, October 12, 1988. Steve Wozniak said in a 2013 interview that while Jobs was at NeXT he was ""really getting his head together"".[95]"
,,,"NeXT workstations were first released in 1990 and priced at US$9,999. Like the Apple Lisa, the NeXT workstation was technologically advanced and designed for the education sector, but was largely dismissed as cost-prohibitive for educational institutions.[119] The NeXT workstation was known for its technical strengths, chief among them its object-oriented software development system. Jobs marketed NeXT products to the financial, scientific, and academic community, highlighting its innovative, experimental new technologies, such as the Mach kernel, the digital signal processor chip, and the built-in Ethernet port. Making use of a NeXT computer, English computer scientist Tim Berners-Lee invented the World Wide Web in 1990 at CERN in Switzerland.[120]"
,,,"The revised, second generation NeXTcube was released in 1990. Jobs touted it as the first ""interpersonal"" computer that would replace the personal computer. With its innovative NeXTMail multimedia email system, NeXTcube could share voice, image, graphics, and video in email for the first time. ""Interpersonal computing is going to revolutionize human communications and groupwork"", Jobs told reporters.[121] Jobs ran NeXT with an obsession for aesthetic perfection, as evidenced by the development of and attention to NeXTcube's magnesium case.[122] This put considerable strain on NeXT's hardware division, and in 1993, after having sold only 50,000 machines, NeXT transitioned fully to software development with the release of NeXTSTEP/Intel.[123] The company reported its first yearly profit of $1.03 million in 1994.[124] In 1996, NeXT Software, Inc. released WebObjects, a framework for Web application development. After NeXT was acquired by Apple Inc. in 1997, WebObjects was used to build and run the Apple Store,[123] MobileMe services, and the iTunes Store."
,,,"In 1986, Jobs funded the spinout of The Graphics Group (later renamed Pixar) from Lucasfilm's computer graphics division for the price of $10 million, $5 million of which was given to the company as capital and $5 million of which was paid to Lucasfilm for technology rights.[125]"
,,,"The first film produced by Pixar with its Disney partnership, Toy Story (1995), with Jobs credited as executive producer,[citation needed] brought financial success and critical acclaim to the studio when it was released. Over the course of Jobs's life, under Pixar's creative chief John Lasseter, the company produced box-office hits A Bug's Life (1998); Toy Story 2 (1999); Monsters, Inc. (2001); Finding Nemo (2003); The Incredibles (2004); Cars (2006); Ratatouille (2007); WALL-E (2008); Up (2009); Toy Story 3 (2010); and Cars 2 (2011). Brave (2012), Pixar's first film to be produced since Jobs's death, honored him with a tribute for his contributions to the studio.[126] Finding Nemo, The Incredibles, Ratatouille, WALL-E, Up, Toy Story 3 and Brave each received the Academy Award for Best Animated Feature, an award introduced in 2001.[127][128]"
,,,"In 2003 and 2004, as Pixar's contract with Disney was running out, Jobs and Disney chief executive Michael Eisner tried but failed to negotiate a new partnership,[129] and in January 2004, Jobs announced that he would never deal with Disney again.[130] Pixar would seek a new partner to distribute its films after its contract expired."
,,,"In October 2005, Bob Iger replaced Eisner at Disney, and Iger quickly worked to mend relations with Jobs and Pixar. On January 24, 2006, Jobs and Iger announced that Disney had agreed to purchase Pixar in an all-stock transaction worth $7.4 billion. When the deal closed, Jobs became The Walt Disney Company's largest single shareholder with approximately seven percent of the company's stock.[131] Jobs's holdings in Disney far exceeded those of Eisner, who holds 1.7%, and of Disney family member Roy E. Disney, who until his 2009 death held about 1% of the company's stock and whose criticisms of Eisner—especially that he soured Disney's relationship with Pixar—accelerated Eisner's ousting. Upon completion of the merger, Jobs received 7% of Disney shares, and joined the board of directors as the largest individual shareholder.[131][132][133] Upon Jobs's death his shares in Disney were transferred to the Steven P. Jobs Trust led by Laurene Jobs.[134]"
,,,"After Jobs's death Iger recalled in 2019 that many warned him about Jobs, ""that he would bully me and everyone else"". Iger wrote, ""Who wouldn't want Steve Jobs to have influence over how a company is run?"", and that as an active Disney board member ""he rarely created trouble for me. Not never but rarely"". He speculated that they would have seriously considered merging Disney and Apple had Jobs lived.[130] Floyd Norman, of Pixar, described Jobs as a ""mature, mellow individual"" who never interfered with the creative process of the filmmakers.[135] In early June 2014, Pixar cofounder and Walt Disney Animation Studios President Ed Catmull revealed that Jobs once advised him to ""just explain it to them until they understand"" in disagreements. Catmull released the book Creativity, Inc. in 2014, in which he recounts numerous experiences of working with Jobs. Regarding his own manner of dealing with Jobs, Catmull writes:[136][page needed]"
,,,"In all the 26 years with Steve, Steve and I never had one of these loud verbal arguments and it's not my nature to do that. ... but we did disagree fairly frequently about things. ... I would say something to him and he would immediately shoot it down because he could think faster than I could. ... I would then wait a week ... I'd call him up and I give my counter argument to what he had said and he'd immediately shoot it down. So I had to wait another week, and sometimes this went on for months. But in the end one of three things happened. About a third of the time he said, 'Oh, I get it, you're right.' And that was the end of it. And it was another third of the time in which [I'd] say, 'Actually I think he is right.' The other third of the time, where we didn't reach consensus, he just let me do it my way, never said anything more about it.[137]"
,,,"In 1996, Apple announced that it would buy NeXT for $427 million. The deal was finalized in February 1997,[138] bringing Jobs back to the company he had cofounded. Jobs became de facto chief after then-CEO Gil Amelio was ousted in July 1997. He was formally named interim chief executive on September 16.[139] In March 1998, to concentrate Apple's efforts on returning to profitability, Jobs terminated a number of projects, such as Newton, Cyberdog, and OpenDoc. In the coming months, many employees developed a fear of encountering Jobs while riding in the elevator, ""afraid that they might not have a job when the doors opened. The reality was that Jobs's summary executions were rare, but a handful of victims was enough to terrorize a whole company.""[140] Jobs changed the licensing program for Macintosh clones, making it too costly for the manufacturers to continue making machines."
,,,"With the purchase of NeXT, much of the company's technology found its way into Apple products, most notably NeXTSTEP, which evolved into Mac OS X. Under Jobs's guidance, the company increased sales significantly with the introduction of the iMac and other new products; since then, appealing designs and powerful branding have worked well for Apple. At the 2000 Macworld Expo, Jobs officially dropped the ""interim"" modifier from his title at Apple and became permanent CEO.[141] Jobs quipped at the time that he would be using the title ""iCEO"".[142]"
,,,"The company subsequently branched out, introducing and improving upon other digital appliances. With the introduction of the iPod portable music player, iTunes digital music software, and the iTunes Store, the company made forays into consumer electronics and music distribution. On June 29, 2007, Apple entered the cellular phone business with the introduction of the iPhone, a multi-touch display cell phone, which also included the features of an iPod and, with its own mobile browser, revolutionized the mobile browsing scene. While nurturing open-ended innovation, Jobs also reminded his employees that ""real artists ship"".[143]"
,,,"Jobs had a public war of words with Dell Computer CEO Michael Dell, starting in 1987, when Jobs first criticized Dell for making ""un-innovative beige boxes"".[144] On October 6, 1997, at a Gartner Symposium, when Dell was asked what he would do if he ran the then-troubled Apple Computer company, he said: ""I'd shut it down and give the money back to the shareholders.""[145] Then, in 2006, Jobs sent an email to all employees when Apple's market capitalization rose above Dell's. It read:"
,,,"Team, it turned out that Michael Dell wasn't perfect at predicting the future. Based on today's stock market close, Apple is worth more than Dell. Stocks go up and down, and things may be different tomorrow, but I thought it was worth a moment of reflection today. Steve.[146]"
,,,"Jobs was both admired and criticized for his consummate skill at persuasion and salesmanship, which has been dubbed the ""reality distortion field"" and was particularly evident during his keynote speeches (colloquially known as ""Stevenotes"") at Macworld Expos and at Apple Worldwide Developers Conferences.[147]"
,,,"Jobs usually went to work wearing a black long-sleeved mock turtleneck made by Issey Miyake, Levi's 501 blue jeans, and New Balance 991 sneakers.[148][149] Jobs told his biographer Walter Isaacson ""...he came to like the idea of having a uniform for himself, both because of its daily convenience (the rationale he claimed) and its ability to convey a signature style.""[148]"
,,,Jobs was a board member at Gap Inc. from 1999 to 2002.[150]
,,,"In 2001, Jobs was granted stock options in the amount of 7.5 million shares of Apple with an exercise price of $18.30. It was alleged that the options had been backdated, and that the exercise price should have been $21.10. It was further alleged that Jobs had thereby incurred taxable income of $20,000,000 that he did not report, and that Apple overstated its earnings by that same amount. As a result, Jobs potentially faced a number of criminal charges and civil penalties. The case was the subject of active criminal and civil government investigations,[151] though an independent internal Apple investigation completed on December 29, 2006 found that Jobs was unaware of these issues and that the options granted to him were returned without being exercised in 2003.[152]"
,,,"In 2005, Jobs responded to criticism of Apple's poor recycling programs for e-waste in the US by lashing out at environmental and other advocates at Apple's annual meeting in Cupertino in April. A few weeks later, Apple announced it would take back iPods for free at its retail stores. The Computer TakeBack Campaign responded by flying a banner from a plane over the Stanford University graduation at which Jobs was the commencement speaker. The banner read ""Steve, don't be a mini-player—recycle all e-waste."""
,,,"In 2006, he further expanded Apple's recycling programs to any US customer who buys a new Mac. This program includes shipping and ""environmentally friendly disposal"" of their old systems.[153] The success of Apple's unique products and services provided several years of stable financial returns, propelling Apple to become the world's most valuable publicly traded company in 2011.[154]"
,,,"Jobs was perceived as a demanding perfectionist[155][156] who always aspired to position his businesses and their products at the forefront of the information technology industry by foreseeing and setting innovation and style trends. He summed up this self-concept at the end of his keynote speech at the Macworld Conference and Expo in January 2007, by quoting ice hockey player Wayne Gretzky:"
,,,"There's an old Wayne Gretzky quote that I love. ""I skate to where the puck is going to be, not where it has been."" And we've always tried to do that at Apple. Since the very, very beginning. And we always will.[157]"
,,,"On July 1, 2008, a US$7 billion class action suit was filed against several members of the Apple board of directors for revenue lost because of alleged securities fraud.[158][159]"
,,,"In a 2011 interview with biographer Walter Isaacson, Jobs revealed that he had met with US President Barack Obama, complained about the nation's shortage of software engineers, and told Obama that he was ""headed for a one-term presidency"".[160] Jobs proposed that any foreign student who got an engineering degree at a US university should automatically be offered a green card. After the meeting, Jobs commented, ""The president is very smart, but he kept explaining to us reasons why things can't get done . . . . It infuriates me.""[160]"
,,,"In October 2003, Jobs was diagnosed with cancer. In mid 2004, he announced to his employees that he had a cancerous tumor in his pancreas.[161] The prognosis for pancreatic cancer is usually very poor;[162] Jobs stated that he had a rare, much less aggressive type, known as islet cell neuroendocrine tumor.[161]"
,,,"Despite his diagnosis, Jobs resisted his doctors' recommendations for medical intervention for nine months,[163] instead relying on alternative medicine to thwart the disease. According to Harvard researcher Ramzi Amri, his choice of alternative treatment ""led to an unnecessarily early death"". Other doctors agree that Jobs's diet was insufficient to address his disease. However, cancer researcher and alternative medicine critic David Gorski wrote that ""it's impossible to know whether and by how much he might have decreased his chances of surviving his cancer through his flirtation with woo. My best guess was that Jobs probably only modestly decreased his chances of survival, if that.""[164][165] Barrie R. Cassileth, the chief of Memorial Sloan Kettering Cancer Center's integrative medicine department,[166] on the other hand, said, ""Jobs's faith in alternative medicine likely cost him his life ... He had the only kind of pancreatic cancer that is treatable and curable ... He essentially committed suicide.""[167] According to Jobs's biographer, Walter Isaacson, ""for nine months he refused to undergo surgery for his pancreatic cancer – a decision he later regretted as his health declined"".[168] ""Instead, he tried a vegan diet, acupuncture, herbal remedies, and other treatments he found online, and even consulted a psychic. He was also influenced by a doctor who ran a clinic that advised juice fasts, bowel cleansings and other unproven approaches, before finally having surgery in July 2004.""[169] He underwent a pancreaticoduodenectomy (or ""Whipple procedure"") that appeared to remove the tumor successfully.[170][171] Jobs did not receive chemotherapy or radiation therapy.[161][172] During Jobs's absence, Tim Cook, head of worldwide sales and operations at Apple, ran the company.[161]"
,,,"As of January 2006[update], only Jobs's wife, his doctors, and Iger and his wife knew that his cancer had returned. Jobs told Iger privately that he hoped to live to see his son Reed's high school graduation in 2010.[130] In early August 2006, Jobs delivered the keynote for Apple's annual Worldwide Developers Conference. His ""thin, almost gaunt"" appearance and unusually ""listless"" delivery,[173][174] together with his choice to delegate significant portions of his keynote to other presenters, inspired a flurry of media and internet speculation about the state of his health.[175] In contrast, according to an Ars Technica journal report, Worldwide Developers Conference (WWDC) attendees who saw Jobs in person said he ""looked fine"".[176] Following the keynote, an Apple spokesperson said that ""Steve's health is robust.""[177]"
,,,"Two years later, similar concerns followed Jobs's 2008 WWDC keynote address.[178] Apple officials stated that Jobs was victim to a ""common bug"" and was taking antibiotics,[179] while others surmised his cachectic appearance was due to the Whipple procedure.[172] During a July conference call discussing Apple earnings, participants responded to repeated questions about Jobs's health by insisting that it was a ""private matter"". Others said that shareholders had a right to know more, given Jobs's hands-on approach to running his company.[180][181] Based on an off-the-record phone conversation with Jobs, The New York Times reported, ""While his health problems amounted to a good deal more than 'a common bug', they weren't life-threatening and he doesn't have a recurrence of cancer.""[182]"
,,,"On August 28, 2008, Bloomberg mistakenly published a 2500-word obituary of Jobs in its corporate news service, containing blank spaces for his age and cause of death. News carriers customarily stockpile up-to-date obituaries to facilitate news delivery in the event of a well-known figure's death. Although the error was promptly rectified, many news carriers and blogs reported on it,[183] intensifying rumors concerning Jobs's health.[184] Jobs responded at Apple's September 2008 Let's Rock keynote by paraphrasing Mark Twain: ""Reports of my death are greatly exaggerated.""[185][186] At a subsequent media event, Jobs concluded his presentation with a slide reading ""110/70"", referring to his blood pressure, stating he would not address further questions about his health.[187]"
,,,"On December 16, 2008, Apple announced that marketing vice-president Phil Schiller would deliver the company's final keynote address at the Macworld Conference and Expo 2009, again reviving questions about Jobs's health.[188][189] In a statement given on January 5, 2009, on Apple.com, Jobs said that he had been suffering from a ""hormone imbalance"" for several months.[190][191]"
,,,"On January 14, 2009, Jobs wrote in an internal Apple memo that in the previous week he had ""learned that my health-related issues are more complex than I originally thought"".[192] He announced a six-month leave of absence until the end of June 2009, to allow him to better focus on his health. Tim Cook, who previously acted as CEO in Jobs's 2004 absence, became acting CEO of Apple, with Jobs still involved with ""major strategic decisions"".[192]"
,,,"In 2009, Tim Cook offered a portion of his liver to Jobs, since both share a rare blood type and the donor liver can regenerate tissue after such an operation. Jobs yelled, ""I'll never let you do that. I'll never do that.""[193]"
,,,"In April 2009, Jobs underwent a liver transplant at Methodist University Hospital Transplant Institute in Memphis, Tennessee.[194][195][196] Jobs's prognosis was described as ""excellent"".[194]"
,,,"On January 17, 2011, a year and a half after Jobs returned to work following the liver transplant, Apple announced that he had been granted a medical leave of absence. Jobs announced his leave in a letter to employees, stating his decision was made ""so he could focus on his health"". As it did at the time of his 2009 medical leave, Apple announced that Tim Cook would run day-to-day operations and that Jobs would continue to be involved in major strategic decisions at the company.[197][198] While on leave, Jobs appeared at the iPad 2 launch event on March 2, the WWDC keynote introducing iCloud on June 6, and before the Cupertino City Council on June 7.[199]"
,,,"On August 24, 2011, Jobs announced his resignation as Apple's CEO, writing to the board, ""I have always said if there ever came a day when I could no longer meet my duties and expectations as Apple's CEO, I would be the first to let you know. Unfortunately, that day has come.""[200] Jobs became chairman of the board and named Tim Cook as his successor as CEO.[201][202] Jobs continued to work for Apple until the day before his death six weeks later.[203][204][205]"
,,,"Jobs died at his Palo Alto, California, home around 3 p.m. (PDT) on October 5, 2011, due to complications from a relapse of his previously treated islet-cell pancreatic neuroendocrine tumor,[14][206][207] which resulted in respiratory arrest.[208] He had lost consciousness the day before and died with his wife, children, and sisters at his side.[209] His sister, Mona Simpson, described his death thus: ""Steve's final words, hours earlier, were monosyllables, repeated three times. Before embarking, he'd looked at his sister Patty, then for a long time at his children, then at his life's partner, Laurene, and then over their shoulders past them. Steve's final words were: 'Oh wow. Oh wow. Oh wow.'"" He then lost consciousness and died several hours later.[209] A small private funeral was held on October 7, 2011, the details of which, out of respect for Jobs's family, were not made public.[210]"
,,,"Apple[211] and Pixar each issued announcements of his death.[212] Apple announced on the same day that they had no plans for a public service, but were encouraging ""well-wishers"" to send their remembrance messages to an email address created to receive such messages.[213] Apple and Microsoft both flew their flags at half-staff throughout their respective headquarters and campuses.[214][215]"
,,,"Bob Iger ordered all Disney properties, including Walt Disney World and Disneyland, to fly their flags at half-staff from October 6 to 12, 2011.[216] For two weeks  following his death, Apple displayed on its corporate Web site a simple page that showed Jobs's name and lifespan next to his grayscale portrait.[217][218][219] On October 19, 2011, Apple employees held a private memorial service for Jobs on the Apple campus in Cupertino. Jobs's widow, Laurene, was in attendance, as well as Cook, Bill Campbell, Norah Jones, Al Gore, and Coldplay.[220] Some of Apple's retail stores closed briefly so employees could attend the memorial. A video of the service was uploaded to Apple's website.[220]"
,,,"California Governor Jerry Brown declared Sunday, October 16, 2011, to be ""Steve Jobs Day"".[221] On that day, an invitation-only memorial was held at Stanford University. Those in attendance included Apple and other tech company executives, members of the media, celebrities, close friends of Jobs, and politicians, along with Jobs's family. Bono, Yo-Yo Ma, and Joan Baez performed at the service, which lasted longer than an hour. The service was highly secured, with guards at all of the university's gates, and a helicopter flying overhead from an area news station.[222][223] Each attendee was given a small brown box as a ""farewell gift"" from Jobs. The box contained a copy of the Autobiography of a Yogi by Paramahansa Yogananda.[224]"
,,,"Childhood friend and fellow Apple co-founder Steve Wozniak,[225] former owner of what would become Pixar, George Lucas,[226] former rival, Microsoft co-founder Bill Gates,[227] and President Barack Obama[228] all offered statements in response to his death."
,,,"Per his request, Jobs is buried in an unmarked grave at Alta Mesa Memorial Park, the only nonsectarian cemetery in Palo Alto.[229][230]"
,,,"On October 7, 2021, Apple released a commemorative YouTube video on the tenth anniversary of Jobs's passing.[231]"
,,,"Jobs's design aesthetic was influenced by philosophies of Zen and Buddhism. In India, he experienced Buddhism while on his seven-month spiritual journey,[232] and his sense of intuition was influenced by the spiritual people with whom he studied.[232] He also learned from many references and sources, such as modernist architectural style of Joseph Eichler,[citation needed] and the industrial designs of Richard Sapper[233] and Dieter Rams.[citation needed]"
,,,"According to Apple co-founder Steve Wozniak, ""Steve didn't ever code. He wasn't an engineer and he didn't do any original design...""[234][235] Daniel Kottke, one of Apple's earliest employees and a college friend of Jobs's, stated: ""Between Woz and Jobs, Woz was the innovator, the inventor. Steve Jobs was the marketing person.""[236]"
,,,"He is listed as either primary inventor or co-inventor in 346 United States patents or patent applications related to a range of technologies from actual computer and portable devices to user interfaces (including touch-based), speakers, keyboards, power adapters, staircases, clasps, sleeves, lanyards and packages. Jobs's contributions to most of his patents were to ""the look and feel of the product"". His industrial design chief Jonathan Ive had his name along with Jobs's name for 200 of the patents.[237] Most of these are design patents (specific product designs; for example, Jobs listed as primary inventor in patents for both original and lamp-style iMacs, as well as PowerBook G4 Titanium) as opposed to utility patents (inventions).[238][239] He has 43 issued US patents on inventions.[238] The patent on the Mac OS X Dock user interface with ""magnification"" feature was issued the day before he died.[240] Although Jobs had little involvement in the engineering and technical side of the original Apple computers,[235] Jobs later used his CEO position to directly involve himself with product design.[241]"
,,,"Involved in many projects throughout his career was his long-time marketing executive and confidant Joanna Hoffman, known as one of the few employees at Apple and NeXT who could successfully stand up to Jobs while also engaging with him.[242]"
,,,"Even while terminally ill in the hospital, Jobs sketched new devices that would hold the iPad in a hospital bed.[209] He also despised the oxygen monitor on his finger, and suggested ways to revise the design for simplicity.[243]"
,,,"Since his death, the former Apple CEO has won 141 patents, more than most inventors win during their lifetimes. Currently, Jobs holds over 450 patents.[244]"
,,,"Although entirely designed by Steve Wozniak, Jobs had the idea of selling the desktop computer, which led to the formation of Apple Computer in 1976. Both Jobs and Wozniak constructed several of the first Apple I prototypes by hand, and sold some of their belongings in order to do so. Eventually, 200 units were produced.[75]"
,,,"The Apple II is an 8-bit home computer, one of the world's first highly successful mass-produced microcomputer products,[83] designed primarily by Wozniak (though Jobs oversaw the development of the Apple II's unusual case[245] and Rod Holt developed the unique power supply[81]). It was introduced in 1977 at the West Coast Computer Faire by Jobs and Wozniak and was the first consumer product sold by Apple."
,,,"The Lisa is a personal computer designed by Apple during the early 1980s. It was the first personal computer to offer a graphical user interface in a machine aimed at individual business users. Development of the Lisa began in 1978.[246] The Lisa sold poorly, with only 100,000 units sold.[247]"
,,,"In 1982, after Jobs was forced out of the Lisa project,[248] he joined the Macintosh project. The Macintosh is not a direct descendant of Lisa, although there are obvious similarities between the systems. The final revision, the Lisa 2/10, was modified and sold as the Macintosh XL.[249]"
,,,"Once he joined the original Macintosh team, Jobs took over the project after Wozniak had experienced a traumatic airplane accident and temporarily left the company.[95] Jobs introduced the Macintosh computer on January 24, 1984. This was the first mass-market personal computer featuring an integral graphical user interface and mouse.[250] This first model was later renamed to ""Macintosh 128k"" for uniqueness amongst a populous family of subsequently updated models which are also based on Apple's same proprietary architecture. Since 1998, Apple has largely phased out the Macintosh name in favor of ""Mac"", though the product family has been nicknamed ""Mac"" or ""the Mac"" since the development of the first model. The Macintosh was introduced by a US$1.5 million Ridley Scott television commercial, ""1984"".[251] It most notably aired during the third quarter of Super Bowl XVIII on January 22, 1984, and some people consider the ad a ""watershed event""[252] and a ""masterpiece"".[253] Regis McKenna called the ad ""more successful than the Mac itself"".[254] ""1984"" uses an unnamed heroine to represent the coming of the Macintosh (indicated by a Picasso-style picture of the computer on her white tank top) as a means of saving humanity from the conformity of IBM's attempts to dominate the computer industry. The ad alludes to George Orwell's novel, Nineteen Eighty-Four, which describes a dystopian future ruled by a televised ""Big Brother.""[255][256]"
,,,"The Macintosh, however, was expensive, which hindered its ability to be competitive in a market already dominated by the Commodore 64 for consumers, as well as the IBM Personal Computer and its accompanying clone market for businesses.[257] Macintosh systems still found success in education and desktop publishing and kept Apple as the second-largest PC manufacturer for the next decade."
,,,"After Jobs was forced out of Apple in 1985, he started NeXT, a workstation computer company. The NeXT Computer was introduced in 1988 at a lavish launch event. Using the NeXT Computer, Tim Berners-Lee created the world's first web browser, the WorldWideWeb. The NeXT Computer's operating system, named NeXTSTEP, begat Darwin, which is now the foundation of most of Apple's products such as Macintosh's macOS and iPhone's iOS.[258][259]"
,,,"Apple iMac G3 was introduced in 1998 and its innovative design was directly the result of Jobs's return to Apple. Apple boasted ""the back of our computer looks better than the front of anyone else's.""[260] Described as ""cartoonlike"", the first iMac, clad in Bondi Blue plastic, was unlike any personal computer that came before. In 1999, Apple introduced the Graphite gray Apple iMac and since has varied the shape, color and size considerably while maintaining the all-in-one design. Design ideas were intended to create a connection with the user such as the handle and a ""breathing"" light effect when the computer went to sleep.[261] The Apple iMac sold for $1,299 at that time. The iMac also featured forward-thinking changes, such as eschewing the floppy disk drive and moving exclusively to USB for connecting peripherals. This latter change resulted, through the iMac's success, in the interface being popularized among third-party peripheral makers—as evidenced by the fact that many early USB peripherals were made of translucent plastic (to match the iMac design).[262]"
,,,"iTunes is a media player, media library, online radio broadcaster, and mobile device management application developed by Apple. It is used to play, download, and organize digital audio and video (as well as other types of media available on the iTunes Store) on personal computers running the macOS and Microsoft Windows operating systems. The iTunes Store is also available on the iPod Touch, iPhone, and iPad."
,,,"Through the iTunes Store, users can purchase and download music, music videos, television shows, audiobooks, podcasts, movies, and movie rentals in some countries, and ringtones, available on the iPhone and iPod Touch (fourth generation onward). Application software for the iPhone, iPad and iPod Touch can be downloaded from the App Store."
,,,"The first generation of iPod was released October 23, 2001. The major innovation of the iPod was its small size achieved by using a 1.8"" hard drive compared to the 2.5"" drives common to players at that time. The capacity of the first generation iPod ranged from 5 GB to 10 GB.[263] The iPod sold for US$399 and more than 100,000 iPods were sold before the end of 2001. The introduction of the iPod resulted in Apple becoming a major player in the music industry.[264] Also, the iPod's success prepared the way for the iTunes music store and the iPhone.[265] After the first few generations of iPod, Apple released the touchscreen iPod Touch, the reduced-size iPod Mini and iPod Nano, and the screenless iPod Shuffle in the following years.[264]"
